                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4124,                 31.741,                 3.1869,                0.01152,                0.14894,                  0.005,                0.00157,                 3.9958,                  25.15,                  2.847,              0.0006649,              0.0006649,              0.0006649
                      2,                 3.1337,                 18.506,                 2.7036,                0.00229,                0.48936,                0.00691,                0.00137,                 3.7919,                 15.339,                 2.4245,              0.0013052,              0.0013052,              0.0013052
                      3,                 3.0655,                 14.843,                 2.7108,                0.00179,                0.38298,                0.00235,                 0.0006,                 3.9456,                 13.693,                 2.8651,              0.0019191,              0.0019191,              0.0019191
                      4,                 2.9612,                 11.603,                 2.5844,                0.00219,                0.46809,                0.00866,                0.00175,                 3.4809,                 9.2898,                 2.3721,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.8855,                 8.6845,                 2.5826,                0.00191,                0.40426,                0.00511,                0.00097,                 3.7412,                 11.159,                 2.7379,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.7814,                  7.747,                 2.5282,                0.00239,                0.51064,                0.01372,                0.00281,                 3.5337,                 7.1016,                  2.355,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.8753,                 6.8031,                 2.5329,                0.01286,                0.12766,                0.03076,                0.00646,                  3.517,                 5.0375,                 2.4002,               0.001802,               0.001802,               0.001802
                      8,                 2.7631,                 5.8556,                 2.4713,                0.00264,                0.56383,                0.00962,                0.00193,                 3.5031,                 4.2919,                 2.3368,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.8517,                 5.2985,                 2.5244,                0.01774,                0.26596,                0.00877,                0.00182,                 3.3958,                 4.1723,                 2.2958,              0.0017228,              0.0017228,              0.0017228
                     10,                   2.75,                 5.0652,                 2.4587,                0.00394,                0.32979,                0.00585,                0.00143,                 3.4579,                 4.8257,                 2.2652,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.7095,                 4.6488,                 2.4916,                0.01956,                0.15957,                0.01075,                0.00236,                 3.4152,                 3.8903,                 2.2346,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.6372,                 4.2513,                 2.4922,                0.01503,                 0.2766,                0.01258,                0.00297,                 3.5355,                 3.9774,                  2.356,               0.001604,               0.001604,               0.001604
                     13,                 2.7434,                  4.108,                 2.4279,                0.02915,                0.12766,                0.01463,                0.00318,                 3.4528,                 3.5094,                 2.2412,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.8484,                 4.0737,                 2.3968,                 0.0208,                0.10638,                0.01316,                 0.0028,                 3.4084,                 3.5981,                 2.2812,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.7905,                 3.8926,                 2.4451,                 0.0232,                 0.1383,                0.01199,                0.00326,                 3.4474,                 3.4632,                 2.2532,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.8412,                 3.7387,                 2.4396,                0.02921,                 0.1383,                0.01618,                0.00314,                  3.497,                 3.6629,                 2.3177,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.9032,                 3.8853,                  2.397,                0.02895,                0.07447,                0.02064,                0.00328,                 3.5252,                 3.5378,                 2.3584,               0.001406,               0.001406,               0.001406
                     18,                 2.8532,                 3.7876,                 2.4778,                0.01911,                0.11702,                0.01381,                0.00248,                 3.4769,                 3.5238,                 2.2971,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.7421,                 3.6346,                 2.4339,                0.03019,                0.11702,                 0.0106,                0.00219,                 3.4277,                 3.4402,                 2.2555,              0.0013268,              0.0013268,              0.0013268
                     20,                  2.819,                 3.6911,                 2.4178,                0.03902,                0.05319,                0.01215,                0.00194,                 3.4919,                 3.3512,                 2.3489,              0.0012872,              0.0012872,              0.0012872
                     21,                  2.733,                 3.6133,                 2.4137,                0.02315,                0.06383,                0.00847,                0.00185,                 3.4714,                 3.6957,                   2.33,              0.0012476,              0.0012476,              0.0012476
                     22,                 2.7362,                  3.549,                 2.4195,                0.01547,                0.14894,                0.00783,                0.00182,                 3.4405,                 4.1836,                 2.2529,               0.001208,               0.001208,               0.001208
                     23,                 2.8329,                 3.4308,                 2.3834,                0.04313,                0.08511,                0.02974,                 0.0043,                 3.4437,                 3.4596,                 2.2827,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.7017,                 3.3595,                  2.449,                0.02216,                0.09574,                0.00775,                0.00166,                 3.3932,                  3.613,                 2.2357,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.7233,                 3.3264,                 2.3826,                0.02537,                0.09574,                0.02653,                0.00426,                 3.4346,                 4.4119,                 2.2081,              0.0010892,              0.0010892,              0.0010892
                     26,                 2.7824,                 3.3833,                 2.3771,                0.03275,                 0.1383,                 0.0152,                0.00275,                 3.4383,                 3.5079,                  2.169,              0.0010496,              0.0010496,              0.0010496
                     27,                 2.6691,                 3.4477,                 2.3443,                0.05018,                0.10638,                0.02308,                0.00383,                 3.3825,                 3.3546,                 2.2023,                0.00101,                0.00101,                0.00101
                     28,                 2.7532,                 3.4384,                 2.4101,                0.01667,                0.12766,                0.00653,                0.00176,                 3.3968,                 4.6146,                 2.1934,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.7255,                 3.4253,                 2.3744,                0.03333,                0.12766,                0.01421,                0.00259,                 3.4049,                 3.3471,                 2.1489,              0.0009308,              0.0009308,              0.0009308
                     30,                 2.7116,                 3.3633,                 2.4066,                 0.0228,                 0.1383,                0.00991,                0.00207,                  3.424,                 4.2333,                 2.1502,              0.0008912,              0.0008912,              0.0008912
                     31,                 2.6351,                 3.2447,                 2.3777,                0.04309,                0.08511,                0.01683,                0.00351,                 3.3363,                 3.4048,                 2.1887,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.6599,                 3.1809,                 2.3365,                 0.0226,                0.19149,                0.01093,                0.00268,                 3.3746,                 3.8914,                 2.2518,               0.000812,               0.000812,               0.000812
                     33,                  2.742,                 3.2266,                 2.3346,                 0.0279,                0.07447,                0.01301,                0.00254,                  3.417,                  3.837,                 2.2332,              0.0007724,              0.0007724,              0.0007724
                     34,                 2.7767,                 3.2253,                 2.3023,                0.02533,                0.23404,                0.01206,                0.00251,                  3.389,                 3.5006,                  2.194,              0.0007328,              0.0007328,              0.0007328
                     35,                 2.6901,                 3.1382,                 2.3062,                0.01925,                0.10638,                0.01165,                0.00272,                 3.4146,                 3.4459,                 2.1844,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.7563,                 3.1795,                 2.3091,                0.02544,                0.11702,                0.00983,                 0.0023,                 3.4452,                 3.4983,                 2.2021,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.6149,                 3.1279,                 2.3008,                0.03127,                0.08511,                0.02124,                 0.0037,                 3.4617,                 3.6874,                 2.2125,               0.000614,               0.000614,               0.000614
